Date,Gender,Ranking,Player,Country,Age,Points,Tournaments
07-12-2009,men,1,Roger Federer,SUI,28,"10,550",19
07-12-2009,men,2,Rafael Nadal,ESP,23,"9,205",19
07-12-2009,men,3,Novak Djokovic,SRB,22,"8,310",23
07-12-2009,men,4,Andy Murray,GBR,22,"7,030",19
07-12-2009,men,5,Juan Martin del Potro,ARG,21,"6,785",22
07-12-2009,men,6,Nikolay Davydenko,RUS,28,"4,930",26
07-12-2009,men,7,Andy Roddick,USA,27,"4,410",20
07-12-2009,men,8,Robin Soderling,SWE,25,"3,410",27
07-12-2009,men,9,Fernando Verdasco,ESP,26,"3,300",24
07-12-2009,men,10,Jo-Wilfried Tsonga,FRA,24,"2,875",26
07-12-2009,men,11,Fernando Gonzalez,CHI,29,"2,870",18
07-12-2009,men,12,Radek Stepanek,CZE,31,"2,625",23
07-12-2009,men,13,Gael Monfils,FRA,23,"2,610",24
07-12-2009,men,14,Marin Cilic,CRO,21,"2,430",23
07-12-2009,men,15,Gilles Simon,FRA,24,"2,275",27
07-12-2009,men,16,Tommy Robredo,ESP,27,"2,175",27
07-12-2009,men,17,David Ferrer,ESP,27,"1,870",26
07-12-2009,men,18,Tommy Haas,GER,31,"1,855",19
07-12-2009,men,19,Mikhail Youzhny,RUS,27,"1,690",31
07-12-2009,men,20,Tomas Berdych,CZE,24,"1,655",28
07-12-2009,men,21,Stan Wawrinka,SUI,24,"1,635",21
07-12-2009,men,22,Lleyton Hewitt,AUS,28,"1,600",21
07-12-2009,men,23,Juan Carlos Ferrero,ESP,29,"1,555",25
07-12-2009,men,24,Ivan Ljubicic,CRO,30,"1,405",27
07-12-2009,men,25,Sam Querrey,USA,22,"1,320",26
07-12-2009,men,26,Nicolas Almagro,ESP,24,"1,305",26
07-12-2009,men,27,Philipp Kohlschreiber,GER,26,"1,260",28
07-12-2009,men,28,Jurgen Melzer,AUT,28,"1,260",28
07-12-2009,men,29,Viktor Troicki,SRB,23,"1,175",30
07-12-2009,men,30,Juan Monaco,ARG,25,"1,170",27
07-12-2009,men,31,Albert Montanes,ESP,29,"1,140",28
07-12-2009,men,32,Jeremy Chardy,FRA,22,"1,102",31
07-12-2009,men,33,Paul-Henri Mathieu,FRA,27,"1,080",29
07-12-2009,men,34,John Isner,USA,24,"1,067",22
07-12-2009,men,35,Igor Andreev,RUS,26,"1,030",33
07-12-2009,men,36,Thomaz Bellucci,BRA,21,"1,021",27
07-12-2009,men,37,Ivo Karlovic,CRO,30,"1,015",23
07-12-2009,men,38,Janko Tipsarevic,SRB,25,"1,015",28
07-12-2009,men,39,Andreas Beck,GER,23,"1,000",27
07-12-2009,men,40,Benjamin Becker,GER,28,986,29
07-12-2009,men,41,Guillermo Garcia-Lopez,ESP,26,954,28
07-12-2009,men,42,Marcos Baghdatis,CYP,24,945,22
07-12-2009,men,43,Dudi Sela,ISR,24,936,25
07-12-2009,men,44,James Blake,USA,29,935,21
07-12-2009,men,45,Horacio Zeballos,ARG,24,934,27
07-12-2009,men,46,Julien Benneteau,FRA,27,924,29
07-12-2009,men,47,Feliciano Lopez,ESP,28,905,26
07-12-2009,men,48,Victor Hanescu,ROU,28,905,31
07-12-2009,men,49,Andreas Seppi,ITA,25,900,31
07-12-2009,men,50,Pablo Cuevas,URU,23,899,30
07-12-2009,men,51,Jose Acasuso,ARG,27,870,24
07-12-2009,men,52,Richard Gasquet,FRA,23,850,21
07-12-2009,men,53,Evgeny Korolev,KAZ,21,848,26
07-12-2009,men,54,Fabio Fognini,ITA,22,790,29
07-12-2009,men,55,Mardy Fish,USA,27,790,25
07-12-2009,men,56,Marco Chiudinelli,SUI,28,767,23
07-12-2009,men,57,Olivier Rochus,BEL,28,757,24
07-12-2009,men,58,Marc Gicquel,FRA,32,744,29
07-12-2009,men,59,Simon Greul,GER,28,739,27
07-12-2009,men,60,Sergiy Stakhovsky,UKR,23,733,29
07-12-2009,men,61,Florian Mayer,GER,26,701,25
07-12-2009,men,62,Potito Starace,ITA,28,682,31
07-12-2009,men,63,Arnaud Clement,FRA,31,667,28
07-12-2009,men,64,David Nalbandian,ARG,27,665,19
07-12-2009,men,65,Florent Serra,FRA,28,665,33
07-12-2009,men,66,Maximo Gonzalez,ARG,26,663,22
07-12-2009,men,67,Michael Llodra,FRA,29,649,20
07-12-2009,men,68,Fabrice Santoro,FRA,36,645,28
07-12-2009,men,69,Fred Gil,POR,24,642,27
07-12-2009,men,70,Oscar Hernandez,ESP,31,633,36
07-12-2009,men,71,Daniel Koellerer,AUT,26,617,26
07-12-2009,men,72,Daniel Gimeno-Traver,ESP,24,613,32
07-12-2009,men,73,Juan Ignacio Chela,ARG,30,611,26
07-12-2009,men,74,Michael Berrer,GER,29,608,26
07-12-2009,men,75,Leonardo Mayer,ARG,22,607,24
07-12-2009,men,76,Taylor Dent,USA,28,602,23
07-12-2009,men,77,Peter Luczak,AUS,30,598,29
07-12-2009,men,78,Mischa Zverev,GER,22,590,26
07-12-2009,men,79,Rajeev Ram,USA,25,590,24
07-12-2009,men,80,Philipp Petzschner,GER,25,587,30
07-12-2009,men,81,Alejandro Falla,COL,26,587,22
07-12-2009,men,82,Lukas Lacko,SVK,22,580,24
07-12-2009,men,83,Michael Russell,USA,31,579,24
07-12-2009,men,84,Paolo Lorenzi,ITA,27,577,29
07-12-2009,men,85,Rainer Schuettler,GER,33,575,31
07-12-2009,men,86,Christophe Rochus,BEL,30,575,36
07-12-2009,men,87,Marcos Daniel,BRA,31,573,24
07-12-2009,men,88,Jarkko Nieminen,FIN,28,568,23
07-12-2009,men,89,Dmitry Tursunov,RUS,26,565,25
07-12-2009,men,90,Ernests Gulbis,LAT,21,555,27
07-12-2009,men,91,Marcel Granollers,ESP,23,553,34
07-12-2009,men,92,Daniel Brands,GER,22,550,32
07-12-2009,men,93,Simone Bolelli,ITA,24,549,26
07-12-2009,men,94,Xavier Malisse,BEL,29,547,17
07-12-2009,men,95,Mario Ancic,CRO,25,547,15
07-12-2009,men,96,Thiemo de Bakker,NED,21,541,22
07-12-2009,men,97,Nicolas Lapentti,ECU,33,540,22
07-12-2009,men,98,Yen-Hsun Lu,TPE,26,537,30
07-12-2009,men,99,Martin Vassallo Arguello,ARG,29,535,29
07-12-2009,men,100,Robby Ginepri,USA,27,529,23
14-12-2009,men,1,Roger Federer,SUI,28,"10,550",19
14-12-2009,men,2,Rafael Nadal,ESP,23,"9,205",19
14-12-2009,men,3,Novak Djokovic,SRB,22,"8,310",23
14-12-2009,men,4,Andy Murray,GBR,22,"7,030",19
14-12-2009,men,5,Juan Martin del Potro,ARG,21,"6,785",22
14-12-2009,men,6,Nikolay Davydenko,RUS,28,"4,930",26
14-12-2009,men,7,Andy Roddick,USA,27,"4,410",20
14-12-2009,men,8,Robin Soderling,SWE,25,"3,410",27
14-12-2009,men,9,Fernando Verdasco,ESP,26,"3,300",24
14-12-2009,men,10,Jo-Wilfried Tsonga,FRA,24,"2,875",26
14-12-2009,men,11,Fernando Gonzalez,CHI,29,"2,870",18
14-12-2009,men,12,Radek Stepanek,CZE,31,"2,625",23
14-12-2009,men,13,Gael Monfils,FRA,23,"2,610",24
14-12-2009,men,14,Marin Cilic,CRO,21,"2,430",23
14-12-2009,men,15,Gilles Simon,FRA,24,"2,275",27
14-12-2009,men,16,Tommy Robredo,ESP,27,"2,175",27
14-12-2009,men,17,David Ferrer,ESP,27,"1,870",26
14-12-2009,men,18,Tommy Haas,GER,31,"1,855",19
14-12-2009,men,19,Mikhail Youzhny,RUS,27,"1,690",31
14-12-2009,men,20,Tomas Berdych,CZE,24,"1,655",28
14-12-2009,men,21,Stan Wawrinka,SUI,24,"1,635",21
14-12-2009,men,22,Lleyton Hewitt,AUS,28,"1,600",21
14-12-2009,men,23,Juan Carlos Ferrero,ESP,29,"1,555",25
14-12-2009,men,24,Ivan Ljubicic,CRO,30,"1,405",27
14-12-2009,men,25,Sam Querrey,USA,22,"1,320",26
14-12-2009,men,26,Nicolas Almagro,ESP,24,"1,305",26
14-12-2009,men,27,Philipp Kohlschreiber,GER,26,"1,260",28
14-12-2009,men,28,Jurgen Melzer,AUT,28,"1,260",28
14-12-2009,men,29,Viktor Troicki,SRB,23,"1,175",30
14-12-2009,men,30,Juan Monaco,ARG,25,"1,170",27
14-12-2009,men,31,Albert Montanes,ESP,29,"1,140",28
14-12-2009,men,32,Jeremy Chardy,FRA,22,"1,102",31
14-12-2009,men,33,Paul-Henri Mathieu,FRA,27,"1,080",29
14-12-2009,men,34,John Isner,USA,24,"1,067",22
14-12-2009,men,35,Igor Andreev,RUS,26,"1,030",33
14-12-2009,men,36,Thomaz Bellucci,BRA,21,"1,021",27
14-12-2009,men,37,Ivo Karlovic,CRO,30,"1,015",23
14-12-2009,men,38,Janko Tipsarevic,SRB,25,"1,015",28
14-12-2009,men,39,Andreas Beck,GER,23,"1,000",27
14-12-2009,men,40,Benjamin Becker,GER,28,986,29
14-12-2009,men,41,Guillermo Garcia-Lopez,ESP,26,954,28
14-12-2009,men,42,Marcos Baghdatis,CYP,24,945,22
14-12-2009,men,43,Dudi Sela,ISR,24,936,25
14-12-2009,men,44,James Blake,USA,29,935,21
14-12-2009,men,45,Horacio Zeballos,ARG,24,934,27
14-12-2009,men,46,Julien Benneteau,FRA,27,924,29
14-12-2009,men,47,Feliciano Lopez,ESP,28,905,26
14-12-2009,men,48,Victor Hanescu,ROU,28,905,31
14-12-2009,men,49,Andreas Seppi,ITA,25,900,31
14-12-2009,men,50,Pablo Cuevas,URU,23,899,30
14-12-2009,men,51,Jose Acasuso,ARG,27,870,24
14-12-2009,men,52,Richard Gasquet,FRA,23,850,21
14-12-2009,men,53,Evgeny Korolev,KAZ,21,848,26
14-12-2009,men,54,Fabio Fognini,ITA,22,790,29
14-12-2009,men,55,Mardy Fish,USA,28,790,25
14-12-2009,men,56,Marco Chiudinelli,SUI,28,767,23
14-12-2009,men,57,Olivier Rochus,BEL,28,757,24
14-12-2009,men,58,Marc Gicquel,FRA,32,744,29
14-12-2009,men,59,Simon Greul,GER,28,739,27
14-12-2009,men,60,Sergiy Stakhovsky,UKR,23,733,29
14-12-2009,men,61,Florian Mayer,GER,26,701,25
14-12-2009,men,62,Potito Starace,ITA,28,682,31
14-12-2009,men,63,Arnaud Clement,FRA,31,667,28
14-12-2009,men,64,David Nalbandian,ARG,27,665,19
14-12-2009,men,65,Florent Serra,FRA,28,665,33
14-12-2009,men,66,Maximo Gonzalez,ARG,26,663,22
14-12-2009,men,67,Michael Llodra,FRA,29,649,20
14-12-2009,men,68,Fabrice Santoro,FRA,37,645,28
14-12-2009,men,69,Fred Gil,POR,24,642,27
14-12-2009,men,70,Oscar Hernandez,ESP,31,633,36
14-12-2009,men,71,Daniel Koellerer,AUT,26,617,26
14-12-2009,men,72,Daniel Gimeno-Traver,ESP,24,613,32
14-12-2009,men,73,Juan Ignacio Chela,ARG,30,611,26
14-12-2009,men,74,Michael Berrer,GER,29,608,26
14-12-2009,men,75,Leonardo Mayer,ARG,22,607,24
14-12-2009,men,76,Taylor Dent,USA,28,602,23
14-12-2009,men,77,Peter Luczak,AUS,30,598,29
14-12-2009,men,78,Mischa Zverev,GER,22,590,26
14-12-2009,men,79,Rajeev Ram,USA,25,590,24
14-12-2009,men,80,Philipp Petzschner,GER,25,587,30
14-12-2009,men,81,Alejandro Falla,COL,26,587,22
14-12-2009,men,82,Lukas Lacko,SVK,22,580,24
14-12-2009,men,83,Michael Russell,USA,31,579,24
14-12-2009,men,84,Paolo Lorenzi,ITA,27,577,29
14-12-2009,men,85,Rainer Schuettler,GER,33,575,31
14-12-2009,men,86,Christophe Rochus,BEL,30,575,36
14-12-2009,men,87,Marcos Daniel,BRA,31,573,24
14-12-2009,men,88,Jarkko Nieminen,FIN,28,568,23
14-12-2009,men,89,Dmitry Tursunov,RUS,27,565,25
14-12-2009,men,90,Ernests Gulbis,LAT,21,555,27
14-12-2009,men,91,Marcel Granollers,ESP,23,553,34
14-12-2009,men,92,Daniel Brands,GER,22,550,32
14-12-2009,men,93,Simone Bolelli,ITA,24,549,26
14-12-2009,men,94,Xavier Malisse,BEL,29,547,17
14-12-2009,men,95,Mario Ancic,CRO,25,547,15
14-12-2009,men,96,Thiemo de Bakker,NED,21,541,22
14-12-2009,men,97,Nicolas Lapentti,ECU,33,540,22
14-12-2009,men,98,Yen-Hsun Lu,TPE,26,537,30
14-12-2009,men,99,Martin Vassallo Arguello,ARG,29,535,29
14-12-2009,men,100,Robby Ginepri,USA,27,529,23
21-12-2009,men,1,Roger Federer,SUI,28,"10,550",19
21-12-2009,men,2,Rafael Nadal,ESP,23,"9,205",19
21-12-2009,men,3,Novak Djokovic,SRB,22,"8,310",23
21-12-2009,men,4,Andy Murray,GBR,22,"7,030",19
21-12-2009,men,5,Juan Martin del Potro,ARG,21,"6,785",22
21-12-2009,men,6,Nikolay Davydenko,RUS,28,"4,930",26
21-12-2009,men,7,Andy Roddick,USA,27,"4,410",20
21-12-2009,men,8,Robin Soderling,SWE,25,"3,410",27
21-12-2009,men,9,Fernando Verdasco,ESP,26,"3,300",24
21-12-2009,men,10,Jo-Wilfried Tsonga,FRA,24,"2,875",26
21-12-2009,men,11,Fernando Gonzalez,CHI,29,"2,870",18
21-12-2009,men,12,Radek Stepanek,CZE,31,"2,625",23
21-12-2009,men,13,Gael Monfils,FRA,23,"2,610",24
21-12-2009,men,14,Marin Cilic,CRO,21,"2,430",23
21-12-2009,men,15,Gilles Simon,FRA,24,"2,275",27
21-12-2009,men,16,Tommy Robredo,ESP,27,"2,175",27
21-12-2009,men,17,David Ferrer,ESP,27,"1,870",26
21-12-2009,men,18,Tommy Haas,GER,31,"1,855",19
21-12-2009,men,19,Mikhail Youzhny,RUS,27,"1,690",31
21-12-2009,men,20,Tomas Berdych,CZE,24,"1,655",28
21-12-2009,men,21,Stan Wawrinka,SUI,24,"1,635",21
21-12-2009,men,22,Lleyton Hewitt,AUS,28,"1,600",21
21-12-2009,men,23,Juan Carlos Ferrero,ESP,29,"1,555",25
21-12-2009,men,24,Ivan Ljubicic,CRO,30,"1,405",27
21-12-2009,men,25,Sam Querrey,USA,22,"1,320",26
21-12-2009,men,26,Nicolas Almagro,ESP,24,"1,305",26
21-12-2009,men,27,Philipp Kohlschreiber,GER,26,"1,260",28
21-12-2009,men,28,Jurgen Melzer,AUT,28,"1,260",28
21-12-2009,men,29,Viktor Troicki,SRB,23,"1,175",30
21-12-2009,men,30,Juan Monaco,ARG,25,"1,170",27
21-12-2009,men,31,Albert Montanes,ESP,29,"1,140",28
21-12-2009,men,32,Jeremy Chardy,FRA,22,"1,102",31
21-12-2009,men,33,Paul-Henri Mathieu,FRA,27,"1,080",29
21-12-2009,men,34,John Isner,USA,24,"1,067",22
21-12-2009,men,35,Igor Andreev,RUS,26,"1,030",33
21-12-2009,men,36,Thomaz Bellucci,BRA,21,"1,021",27
21-12-2009,men,37,Ivo Karlovic,CRO,30,"1,015",23
21-12-2009,men,38,Janko Tipsarevic,SRB,25,"1,015",28
21-12-2009,men,39,Andreas Beck,GER,23,"1,000",27
21-12-2009,men,40,Benjamin Becker,GER,28,986,29
21-12-2009,men,41,Guillermo Garcia-Lopez,ESP,26,954,28
21-12-2009,men,42,Marcos Baghdatis,CYP,24,945,22
21-12-2009,men,43,Dudi Sela,ISR,24,936,25
21-12-2009,men,44,James Blake,USA,29,935,21
21-12-2009,men,45,Horacio Zeballos,ARG,24,934,27
21-12-2009,men,46,Julien Benneteau,FRA,28,924,29
21-12-2009,men,47,Feliciano Lopez,ESP,28,905,26
21-12-2009,men,48,Victor Hanescu,ROU,28,905,31
21-12-2009,men,49,Andreas Seppi,ITA,25,900,31
21-12-2009,men,50,Pablo Cuevas,URU,23,899,30
21-12-2009,men,51,Jose Acasuso,ARG,27,870,24
21-12-2009,men,52,Richard Gasquet,FRA,23,850,21
21-12-2009,men,53,Evgeny Korolev,KAZ,21,848,26
21-12-2009,men,54,Fabio Fognini,ITA,22,790,29
21-12-2009,men,55,Mardy Fish,USA,28,790,25
21-12-2009,men,56,Marco Chiudinelli,SUI,28,767,23
21-12-2009,men,57,Olivier Rochus,BEL,28,757,24
21-12-2009,men,58,Marc Gicquel,FRA,32,744,29
21-12-2009,men,59,Simon Greul,GER,28,739,27
21-12-2009,men,60,Sergiy Stakhovsky,UKR,23,733,29
21-12-2009,men,61,Florian Mayer,GER,26,701,25
21-12-2009,men,62,Potito Starace,ITA,28,682,31
21-12-2009,men,63,Arnaud Clement,FRA,32,667,28
21-12-2009,men,64,David Nalbandian,ARG,27,665,19
21-12-2009,men,65,Florent Serra,FRA,28,665,33
21-12-2009,men,66,Maximo Gonzalez,ARG,26,663,22
21-12-2009,men,67,Michael Llodra,FRA,29,649,20
21-12-2009,men,68,Fabrice Santoro,FRA,37,645,28
21-12-2009,men,69,Fred Gil,POR,24,642,27
21-12-2009,men,70,Oscar Hernandez,ESP,31,633,36
21-12-2009,men,71,Daniel Koellerer,AUT,26,617,26
21-12-2009,men,72,Daniel Gimeno-Traver,ESP,24,613,32
21-12-2009,men,73,Juan Ignacio Chela,ARG,30,611,26
21-12-2009,men,74,Michael Berrer,GER,29,608,26
21-12-2009,men,75,Leonardo Mayer,ARG,22,607,24
21-12-2009,men,76,Taylor Dent,USA,28,602,23
21-12-2009,men,77,Peter Luczak,AUS,30,598,29
21-12-2009,men,78,Mischa Zverev,GER,22,590,26
21-12-2009,men,79,Rajeev Ram,USA,25,590,24
21-12-2009,men,80,Philipp Petzschner,GER,25,587,30
21-12-2009,men,81,Alejandro Falla,COL,26,587,22
21-12-2009,men,82,Lukas Lacko,SVK,22,580,24
21-12-2009,men,83,Michael Russell,USA,31,579,24
21-12-2009,men,84,Paolo Lorenzi,ITA,28,577,29
21-12-2009,men,85,Rainer Schuettler,GER,33,575,31
21-12-2009,men,86,Christophe Rochus,BEL,31,575,36
21-12-2009,men,87,Marcos Daniel,BRA,31,573,24
21-12-2009,men,88,Jarkko Nieminen,FIN,28,568,23
21-12-2009,men,89,Dmitry Tursunov,RUS,27,565,25
21-12-2009,men,90,Ernests Gulbis,LAT,21,555,27
21-12-2009,men,91,Marcel Granollers,ESP,23,553,34
21-12-2009,men,92,Daniel Brands,GER,22,550,32
21-12-2009,men,93,Simone Bolelli,ITA,24,549,26
21-12-2009,men,94,Xavier Malisse,BEL,29,547,17
21-12-2009,men,95,Mario Ancic,CRO,25,547,15
21-12-2009,men,96,Thiemo de Bakker,NED,21,541,22
21-12-2009,men,97,Nicolas Lapentti,ECU,33,540,22
21-12-2009,men,98,Yen-Hsun Lu,TPE,26,537,30
21-12-2009,men,99,Martin Vassallo Arguello,ARG,29,535,29
21-12-2009,men,100,Robby Ginepri,USA,27,529,23
28-12-2009,men,1,Roger Federer,SUI,28,"10,550",19
28-12-2009,men,2,Rafael Nadal,ESP,23,"9,205",19
28-12-2009,men,3,Novak Djokovic,SRB,22,"8,310",23
28-12-2009,men,4,Andy Murray,GBR,22,"7,030",19
28-12-2009,men,5,Juan Martin del Potro,ARG,21,"6,785",22
28-12-2009,men,6,Nikolay Davydenko,RUS,28,"4,930",26
28-12-2009,men,7,Andy Roddick,USA,27,"4,410",20
28-12-2009,men,8,Robin Soderling,SWE,25,"3,410",27
28-12-2009,men,9,Fernando Verdasco,ESP,26,"3,300",24
28-12-2009,men,10,Jo-Wilfried Tsonga,FRA,24,"2,875",26
28-12-2009,men,11,Fernando Gonzalez,CHI,29,"2,870",18
28-12-2009,men,12,Radek Stepanek,CZE,31,"2,625",23
28-12-2009,men,13,Gael Monfils,FRA,23,"2,610",24
28-12-2009,men,14,Marin Cilic,CRO,21,"2,430",23
28-12-2009,men,15,Gilles Simon,FRA,25,"2,275",27
28-12-2009,men,16,Tommy Robredo,ESP,27,"2,175",27
28-12-2009,men,17,David Ferrer,ESP,27,"1,870",26
28-12-2009,men,18,Tommy Haas,GER,31,"1,855",19
28-12-2009,men,19,Mikhail Youzhny,RUS,27,"1,690",31
28-12-2009,men,20,Tomas Berdych,CZE,24,"1,655",28
28-12-2009,men,21,Stan Wawrinka,SUI,24,"1,635",21
28-12-2009,men,22,Lleyton Hewitt,AUS,28,"1,600",21
28-12-2009,men,23,Juan Carlos Ferrero,ESP,29,"1,555",25
28-12-2009,men,24,Ivan Ljubicic,CRO,30,"1,405",27
28-12-2009,men,25,Sam Querrey,USA,22,"1,320",26
28-12-2009,men,26,Nicolas Almagro,ESP,24,"1,305",26
28-12-2009,men,27,Philipp Kohlschreiber,GER,26,"1,260",28
28-12-2009,men,28,Jurgen Melzer,AUT,28,"1,260",28
28-12-2009,men,29,Viktor Troicki,SRB,23,"1,175",30
28-12-2009,men,30,Juan Monaco,ARG,25,"1,170",27
28-12-2009,men,31,Albert Montanes,ESP,29,"1,140",28
28-12-2009,men,32,Jeremy Chardy,FRA,22,"1,102",31
28-12-2009,men,33,Paul-Henri Mathieu,FRA,27,"1,080",29
28-12-2009,men,34,John Isner,USA,24,"1,067",22
28-12-2009,men,35,Igor Andreev,RUS,26,"1,030",33
28-12-2009,men,36,Thomaz Bellucci,BRA,21,"1,021",27
28-12-2009,men,37,Ivo Karlovic,CRO,30,"1,015",23
28-12-2009,men,38,Janko Tipsarevic,SRB,25,"1,015",28
28-12-2009,men,39,Andreas Beck,GER,23,"1,000",27
28-12-2009,men,40,Benjamin Becker,GER,28,986,29
28-12-2009,men,41,Guillermo Garcia-Lopez,ESP,26,954,28
28-12-2009,men,42,Marcos Baghdatis,CYP,24,945,22
28-12-2009,men,43,Dudi Sela,ISR,24,936,25
28-12-2009,men,44,James Blake,USA,30,935,21
28-12-2009,men,45,Horacio Zeballos,ARG,24,934,27
28-12-2009,men,46,Julien Benneteau,FRA,28,924,29
28-12-2009,men,47,Feliciano Lopez,ESP,28,905,26
28-12-2009,men,48,Victor Hanescu,ROU,28,905,31
28-12-2009,men,49,Andreas Seppi,ITA,25,900,31
28-12-2009,men,50,Pablo Cuevas,URU,23,899,30
28-12-2009,men,51,Jose Acasuso,ARG,27,870,24
28-12-2009,men,52,Richard Gasquet,FRA,23,850,21
28-12-2009,men,53,Evgeny Korolev,KAZ,21,848,26
28-12-2009,men,54,Fabio Fognini,ITA,22,790,29
28-12-2009,men,55,Mardy Fish,USA,28,790,25
28-12-2009,men,56,Marco Chiudinelli,SUI,28,767,23
28-12-2009,men,57,Olivier Rochus,BEL,28,757,24
28-12-2009,men,58,Marc Gicquel,FRA,32,744,29
28-12-2009,men,59,Simon Greul,GER,28,739,27
28-12-2009,men,60,Sergiy Stakhovsky,UKR,23,733,29
28-12-2009,men,61,Florian Mayer,GER,26,701,25
28-12-2009,men,62,Potito Starace,ITA,28,682,31
28-12-2009,men,63,Arnaud Clement,FRA,32,667,28
28-12-2009,men,64,David Nalbandian,ARG,27,665,19
28-12-2009,men,65,Florent Serra,FRA,28,665,33
28-12-2009,men,66,Maximo Gonzalez,ARG,26,663,22
28-12-2009,men,67,Michael Llodra,FRA,29,649,20
28-12-2009,men,68,Fabrice Santoro,FRA,37,645,28
28-12-2009,men,69,Fred Gil,POR,24,642,27
28-12-2009,men,70,Oscar Hernandez,ESP,31,633,36
28-12-2009,men,71,Daniel Koellerer,AUT,26,617,26
28-12-2009,men,72,Daniel Gimeno-Traver,ESP,24,613,32
28-12-2009,men,73,Juan Ignacio Chela,ARG,30,611,26
28-12-2009,men,74,Michael Berrer,GER,29,608,26
28-12-2009,men,75,Leonardo Mayer,ARG,22,607,24
28-12-2009,men,76,Taylor Dent,USA,28,602,23
28-12-2009,men,77,Peter Luczak,AUS,30,598,29
28-12-2009,men,78,Mischa Zverev,GER,22,590,26
28-12-2009,men,79,Rajeev Ram,USA,25,590,24
28-12-2009,men,80,Philipp Petzschner,GER,25,587,30
28-12-2009,men,81,Alejandro Falla,COL,26,587,22
28-12-2009,men,82,Lukas Lacko,SVK,22,580,24
28-12-2009,men,83,Michael Russell,USA,31,579,24
28-12-2009,men,84,Paolo Lorenzi,ITA,28,577,29
28-12-2009,men,85,Rainer Schuettler,GER,33,575,31
28-12-2009,men,86,Christophe Rochus,BEL,31,575,36
28-12-2009,men,87,Marcos Daniel,BRA,31,573,24
28-12-2009,men,88,Jarkko Nieminen,FIN,28,568,23
28-12-2009,men,89,Dmitry Tursunov,RUS,27,565,25
28-12-2009,men,90,Ernests Gulbis,LAT,21,555,27
28-12-2009,men,91,Marcel Granollers,ESP,23,553,34
28-12-2009,men,92,Daniel Brands,GER,22,550,32
28-12-2009,men,93,Simone Bolelli,ITA,24,549,26
28-12-2009,men,94,Xavier Malisse,BEL,29,547,17
28-12-2009,men,95,Mario Ancic,CRO,25,547,15
28-12-2009,men,96,Thiemo de Bakker,NED,21,541,22
28-12-2009,men,97,Nicolas Lapentti,ECU,33,540,22
28-12-2009,men,98,Yen-Hsun Lu,TPE,26,537,30
28-12-2009,men,99,Martin Vassallo Arguello,ARG,29,535,29
28-12-2009,men,100,Robby Ginepri,USA,27,529,23
06-12-2010,men,1,Rafael Nadal,ESP,24,"12,450",20
06-12-2010,men,2,Roger Federer,SUI,29,"9,145",21
06-12-2010,men,3,Novak Djokovic,SRB,23,"6,240",21
06-12-2010,men,4,Andy Murray,GBR,23,"5,760",19
06-12-2010,men,5,Robin Soderling,SWE,26,"5,580",24
06-12-2010,men,6,Tomas Berdych,CZE,25,"3,955",26
06-12-2010,men,7,David Ferrer,ESP,28,"3,735",24
06-12-2010,men,8,Andy Roddick,USA,28,"3,665",21
06-12-2010,men,9,Fernando Verdasco,ESP,27,"3,240",25
06-12-2010,men,10,Mikhail Youzhny,RUS,28,"2,920",24
06-12-2010,men,11,Jurgen Melzer,AUT,29,"2,785",27
06-12-2010,men,12,Gael Monfils,FRA,24,"2,560",24
06-12-2010,men,13,Jo-Wilfried Tsonga,FRA,25,"2,345",20
06-12-2010,men,14,Marin Cilic,CRO,22,"2,300",24
06-12-2010,men,15,Nicolas Almagro,ESP,25,"2,160",27
06-12-2010,men,16,Mardy Fish,USA,28,"1,991",20
06-12-2010,men,17,Ivan Ljubicic,CRO,31,"1,965",23
06-12-2010,men,18,Sam Querrey,USA,23,"1,860",27
06-12-2010,men,19,John Isner,USA,25,"1,850",24
06-12-2010,men,20,Marcos Baghdatis,CYP,25,"1,785",29
06-12-2010,men,21,Stan Wawrinka,SUI,25,"1,755",22
06-12-2010,men,22,Nikolay Davydenko,RUS,29,"1,655",25
06-12-2010,men,23,Michael Llodra,FRA,30,"1,575",26
06-12-2010,men,24,Ernests Gulbis,LAT,22,"1,505",22
06-12-2010,men,25,Albert Montanes,ESP,30,"1,495",29
06-12-2010,men,26,Juan Monaco,ARG,26,"1,480",22
06-12-2010,men,27,David Nalbandian,ARG,28,"1,480",18
06-12-2010,men,28,Viktor Troicki,SRB,24,"1,430",28
06-12-2010,men,29,Juan Carlos Ferrero,ESP,30,"1,415",23
06-12-2010,men,30,Richard Gasquet,FRA,24,"1,385",28
06-12-2010,men,31,Thomaz Bellucci,BRA,22,"1,355",27
06-12-2010,men,32,Feliciano Lopez,ESP,29,"1,300",25
06-12-2010,men,33,Guillermo Garcia-Lopez,ESP,27,"1,275",26
06-12-2010,men,34,Philipp Kohlschreiber,GER,27,"1,215",26
06-12-2010,men,35,Yen-Hsun Lu,TPE,27,"1,141",26
06-12-2010,men,36,Andrey Golubev,KAZ,23,"1,135",30
06-12-2010,men,37,Florian Mayer,GER,27,"1,128",26
06-12-2010,men,38,Juan Ignacio Chela,ARG,31,"1,070",27
06-12-2010,men,39,Jarkko Nieminen,FIN,29,"1,062",32
06-12-2010,men,40,Denis Istomin,UZB,24,"1,031",30
06-12-2010,men,41,Gilles Simon,FRA,25,"1,005",24
06-12-2010,men,42,Marcel Granollers,ESP,24,993,31
