ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
12,Rotterdam,ABN AMRO World Tennis Tournament,14-02-2016,ATP500,Indoor,Hard,The Final,3,Klizan M.,Monfils G.,43,18,965,1800,6,7,6,3,6,1,,,,,2,1,Completed
13,Delray Beach,Delray Beach Open,21-02-2016,ATP250,Outdoor,Hard,The Final,3,Querrey S.,Ram R.,61,89,785,622,6,4,7,6,,,,,,,2,0,Completed
14,Marseille,Open 13,21-02-2016,ATP250,Indoor,Hard,The Final,3,Kyrgios N.,Cilic M.,41,12,990,2495,6,2,7,6,,,,,,,2,0,Completed
16,Acapulco,Abierto Mexicano,28-02-2016,ATP500,Outdoor,Hard,The Final,3,Thiem D.,Tomic B.,15,21,2020,1675,7,6,4,6,6,3,,,,,2,1,Completed
17,Dubai ,Dubai Tennis Championships,27-02-2016,ATP500,Outdoor,Hard,The Final,3,Wawrinka S.,Baghdatis M.,4,57,5870,805,6,4,7,6,,,,,,,2,0,Completed
19,Indian Wells,BNP Paribas Open,20-03-2016,Masters 1000,Outdoor,Hard,The Final,3,Djokovic N.,Raonic M.,1,14,16540,2410,6,2,6,0,,,,,,,2,0,Completed
20,Miami,Sony Ericsson Open,03-04-2016,Masters 1000,Outdoor,Hard,The Final,3,Djokovic N.,Nishikori K.,1,6,16540,4070,6,3,6,3,,,,,,,2,0,Completed
46,Washington,Citi Open,24-07-2016,ATP500,Outdoor,Hard,The Final,3,Monfils G.,Karlovic I.,17,35,2030,1235,5,7,7,6,6,4,,,,,2,1,Completed
47,Toronto,Rogers Masters,31-07-2016,Masters 1000,Outdoor,Hard,The Final,3,Djokovic N.,Nishikori K.,1,6,15040,4290,6,3,7,5,,,,,,,2,0,Completed
48,Atlanta,BB&T Atlanta Open,07-08-2016,ATP250,Outdoor,Hard,The Final,3,Kyrgios N.,Isner J.,18,17,1865,1895,7,6,7,6,,,,,,,2,0,Completed
49,Los Cabos,Abierto Mexicano Mifel,14-08-2016,ATP250,Outdoor,Hard,The Final,3,Karlovic I.,Lopez F.,24,18,1490,1835,7,6,6,2,,,,,,,2,0,Completed
50,Cincinnati,Western & Southern Financial Group Masters,21-08-2016,Masters 1000,Outdoor,Hard,The Final,3,Cilic M.,Murray A.,14,2,2605,9065,6,4,7,5,,,,,,,2,0,Completed
51,Winston-Salem,Winston-Salem Open at Wake Forest University,27-08-2016,ATP250,Outdoor,Hard,The Final,3,Carreno Busta P.,Bautista Agut R.,49,17,905,1980,6,7,7,6,6,4,,,,,2,1,Completed
53,Metz,Open de Moselle,25-09-2016,ATP250,Indoor,Hard,The Final,3,Pouille L.,Thiem D.,18,10,1831,3295,7,6,6,2,,,,,,,2,0,Completed
54,St. Petersburg,St. Petersburg Open,25-09-2016,ATP250,Indoor,Hard,The Final,3,Zverev A.,Wawrinka S.,27,3,1425,6260,6,2,3,6,7,5,,,,,2,1,Completed
55,Chengdu,Chengdu Open,02-10-2016,ATP250,Outdoor,Hard,The Final,3,Khachanov K.,Ramos-Vinolas A.,101,31,599,1340,6,7,7,6,6,3,,,,,2,1,Completed
56,Shenzhen ,Shenzhen Open,02-10-2016,ATP250,Outdoor,Hard,The Final,3,Berdych T.,Gasquet R.,9,18,3470,1880,7,6,6,7,6,3,,,,,2,1,Completed
57,Beijing,China Open,09-10-2016,ATP500,Outdoor,Hard,The Final,3,Murray A.,Dimitrov G.,2,20,9345,1735,6,4,7,6,,,,,,,2,0,Completed
58,Tokyo,Rakuten Japan Open Tennis Championships,09-10-2016,ATP500,Outdoor,Hard,The Final,3,Kyrgios N.,Goffin D.,15,14,2050,2390,4,6,6,3,7,5,,,,,2,1,Completed
59,Shanghai,Shanghai Masters,16-10-2016,Masters 1000,Outdoor,Hard,The Final,3,Murray A.,Bautista Agut R.,2,19,9845,1950,7,6,6,1,,,,,,,2,0,Completed
60,Antwerp,European Open,23-10-2016,ATP250,Indoor,Hard,The Final,3,Gasquet R.,Schwartzman D.,19,77,1950,712,7,6,6,1,,,,,,,2,0,Completed
61,Moscow,Kremlin Cup,23-10-2016,ATP250,Indoor,Hard,The Final,3,Carreno Busta P.,Fognini F.,36,50,1155,885,4,6,6,3,6,2,,,,,2,0,Completed
62,Stockholm,Stockholm Open,23-10-2016,ATP250,Indoor,Hard,The Final,3,Del Potro J.M.,Sock J.,63,23,770,1675,7,5,6,1,,,,,,,2,0,Completed
63,Basel,Swiss Indoors,30-10-2016,ATP500,Indoor,Hard,The Final,3,Cilic M.,Nishikori K.,12,5,2690,4650,6,1,7,6,,,,,,,1,0,Completed
64,Vienna,Erste Bank Open,30-10-2016,ATP500,Indoor,Hard,The Final,3,Murray A.,Tsonga J.W.,2,15,10485,2160,6,3,7,6,,,,,,,2,0,Completed
65,Paris,BNP Paribas Masters,06-11-2016,Masters 1000,Indoor,Hard,The Final,3,Murray A.,Isner J.,2,27,10985,1430,6,3,6,7,6,4,,,,,2,1,Completed
66,London,Masters Cup,20-11-2016,Masters Cup,Indoor,Hard,The Final,3,Murray A.,Djokovic N.,1,2,11185,10780,6,3,6,4,,,,,,,2,0,Completed
1,Brisbane,Brisbane International,08-01-2017,ATP250,Outdoor,Hard,The Final,3,Dimitrov G.,Nishikori K.,17,5,2035,4905,6,2,2,6,6,3,,,,,2,1,Completed
2,Chennai,Chennai Open,08-01-2017,ATP250,Outdoor,Hard,The Final,3,Bautista Agut R.,Medvedev D.,14,99,2350,611,6,3,6,4,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,07-01-2017,ATP250,Outdoor,Hard,The Final,3,Djokovic N.,Murray A.,2,1,11780,12410,6,3,5,7,6,4,,,,,2,1,Completed
4,Auckland,ASB Classic,14-01-2017,ATP250,Outdoor,Hard,The Final,3,Sock J.,Sousa J.,23,44,1710,1030,6,3,5,7,6,3,,,,,2,1,Completed
5,Sydney,Apia International,14-01-2017,ATP250,Outdoor,Hard,The Final,3,Muller G.,Evans D.,34,67,1255,736,7,6,6,2,,,,,,,2,0,Completed
7,Montpellier,Open Sud de France,12-02-2017,ATP250,Indoor,Hard,The Final,3,Zverev A.,Gasquet R.,21,22,1735,1725,7,6,6,3,,,,,,,2,0,Completed
9,Sofia,Garanti Koza Sofia Open,12-02-2017,ATP250,Indoor,Hard,The Final,3,Dimitrov G.,Goffin D.,13,11,2765,2930,7,5,6,4,,,,,,,2,0,Completed
11,Memphis,Memphis Open,19-02-2017,ATP250,Indoor,Hard,The Final,3,Harrison R.,Basilashvili N.,62,67,746,714,6,1,6,4,,,,,,,2,0,Completed
12,Rotterdam,ABN AMRO World Tennis Tournament,19-02-2017,ATP500,Indoor,Hard,The Final,3,Tsonga J.W.,Goffin D.,14,11,2730,3035,4,6,6,4,6,1,,,,,2,1,Completed
13,Delray Beach,Delray Beach Open,26-02-2017,ATP250,Outdoor,Hard,The Final,3,Sock J.,Raonic M.,21,4,1855,4930,,,,,,,,,,,,,Walkover
14,Marseille,Open 13,26-02-2017,ATP250,Indoor,Hard,The Final,3,Tsonga J.W.,Pouille L.,11,17,3230,2131,6,4,6,4,,,,,,,2,0,Completed
16,Acapulco,Abierto Mexicano,05-03-2017,ATP500,Outdoor,Hard,The Final,3,Querrey S.,Nadal R.,40,6,1000,4115,6,3,7,6,,,,,,,2,0,Completed
17,Dubai ,Dubai Tennis Championships,04-03-2017,ATP500,Outdoor,Hard,The Final,3,Murray A.,Verdasco F.,1,35,11540,1070,6,3,6,2,,,,,,,2,0,Completed
19,Indian Wells,BNP Paribas Open,19-03-2017,Masters 1000,Outdoor,Hard,The Final,3,Federer R.,Wawrinka S.,10,3,3305,5195,6,4,7,5,,,,,,,2,0,Completed
20,Miami,Sony Ericsson Open,02-01-2017,Masters 1000,Outdoor,Hard,The Final,3,Federer R.,Nadal R.,6,7,4305,4145,6,3,6,4,,,,,,,2,0,Completed
44,Atlanta,BB&T Atlanta Open,30-07-2017,ATP250,Outdoor,Hard,The Final,3,Isner J.,Harrison R.,20,42,2045,983,7,6,7,6,,,,,,,2,0,Completed
48,Los Cabos,Abierto Mexicano Mifel,06-08-2017,ATP250,Outdoor,Hard,The Final,3,Querrey S.,Kokkinakis T.,24,454,1740,85,6,3,3,6,6,2,,,,,2,1,Completed
49,Washington,Citi Open,06-08-2017,ATP500,Outdoor,Hard,The Final,3,Zverev A.,Anderson K.,8,45,3150,960,6,4,6,4,,,,,,,2,0,Completed
50,Montreal,Rogers Masters,13-08-2017,Masters 1000,Outdoor,Hard,The Final,3,Zverev A.,Federer R.,8,3,3560,6545,6,3,6,4,,,,,,,2,0,Completed
51,Cincinnati,Western & Southern Financial Group Masters,20-08-2017,Masters 1000,Outdoor,Hard,The Final,3,Dimitrov G.,Kyrgios N.,11,23,3070,1770,6,3,7,5,,,,,,,2,1,Completed
52,Winston-Salem,Winston-Salem Open at Wake Forest University,26-08-2017,ATP250,Outdoor,Hard,The Final,3,Bautista Agut R.,Dzumhur D.,15,67,2425,725,6,4,6,4,,,,,,,2,0,Completed
54,Metz,Open de Moselle,24-09-2017,ATP250,Indoor,Hard,The Final,3,Gojowczyk P.,Paire B.,95,41,544,1085,7,5,6,2,,,,,,,1,0,Completed
55,St. Petersburg,St. Petersburg Open,24-09-2017,ATP250,Indoor,Hard,The Final,3,Dzumhur D.,Fognini F.,55,29,891,1545,3,6,6,4,6,2,,,,,2,1,Completed
56,Chengdu,Chengdu Open,01-10-2017,ATP250,Outdoor,Hard,The Final,3,Istomin D.,Baghdatis M.,78,113,671,495,3,2,,,,,,,,,0,0,Retired
57,Shenzhen ,Shenzhen Open,01-10-2017,ATP250,Outdoor,Hard,The Final,3,Goffin D.,Dolgopolov O.,12,53,2650,921,6,4,6,7,6,3,,,,,2,1,Completed
58,Beijing,China Open,08-10-2017,ATP500,Outdoor,Hard,The Final,3,Nadal R.,Kyrgios N.,1,19,9465,2245,6,2,6,1,,,,,,,2,0,Completed
59,Tokyo,Rakuten Japan Open Tennis Championships,08-10-2017,ATP500,Outdoor,Hard,The Final,3,Goffin D.,Mannarino A.,11,31,2855,1335,6,3,7,5,,,,,,,2,0,Completed
60,Shanghai,Shanghai Masters,15-10-2017,Masters 1000,Outdoor,Hard,The Final,3,Federer R.,Nadal R.,2,1,7505,9875,6,4,6,3,,,,,,,2,0,Completed
61,Antwerp,European Open,22-10-2017,ATP250,Indoor,Hard,The Final,3,Tsonga J.W.,Schwartzman D.,17,26,2285,1720,6,3,7,5,,,,,,,2,0,Completed
62,Moscow,Kremlin Cup,22-10-2017,ATP250,Indoor,Hard,The Final,3,Dzumhur D.,Berankis R.,38,169,1181,310,6,2,1,6,6,4,,,,,2,1,Completed
63,Stockholm,Stockholm Open,22-10-2017,ATP250,Indoor,Hard,The Final,3,Del Potro J.M.,Dimitrov G.,19,8,2225,3590,6,4,6,2,,,,,,,2,0,Completed
64,Basel,Swiss Indoors,29-10-2017,ATP500,Indoor,Hard,The Final,3,Federer R.,Del Potro J.M.,2,19,8505,2225,6,7,6,4,6,3,,,,,2,1,Completed
65,Vienna,Erste Bank Open,29-10-2017,ATP500,Indoor,Hard,The Final,3,Pouille L.,Tsonga J.W.,25,15,1780,2490,6,1,6,4,,,,,,,2,0,Completed
66,Paris,BNP Paribas Masters,05-11-2017,Masters 1000,Indoor,Hard,The Final,3,Sock J.,Krajinovic F.,22,77,1945,681,5,7,6,4,6,1,,,,,2,1,Completed
67,London,Masters Cup,19-11-2017,Masters Cup,Indoor,Hard,The Final,3,Dimitrov G.,Goffin D.,6,8,3650,2975,7,5,4,6,6,3,,,,,2,1,Completed
1,Brisbane,Brisbane International,07-Jan,ATP250,Outdoor,Hard,The Final,3,Kyrgios N.,Harrison R.,21,47,2010,1010,6,4,6,2,,,,,,,2,0,Completed
2,Doha,Qatar Exxon Mobil Open,06-Jan,ATP250,Outdoor,Hard,The Final,3,Monfils G.,Rublev A.,46,39,1015,1229,6,2,6,3,,,,,,,2,0,Completed
3,Pune,Tata Open,06-Jan,ATP250,Outdoor,Hard,The Final,3,Simon G.,Anderson K.,89,14,610,2480,7,6,6,2,,,,,,,2,0,Completed
4,Auckland,ASB Classic,13-Jan,ATP250,Outdoor,Hard,The Final,3,Bautista Agut R.,Del Potro J.M.,21,12,1855,2595,6,1,4,6,7,5,,,,,2,1,Completed
5,Sydney,Sydney International,13-Jan,ATP250,Outdoor,Hard,The Final,3,Medvedev D.,De Minaur A.,84,167,642,323,1,6,6,4,7,5,,,,,2,1,Completed
7,Montpellier,Open Sud de France,11-Feb,ATP250,Indoor,Hard,The Final,3,Pouille L.,Gasquet R.,17,33,2235,1375,7,6,6,4,,,,,,,2,0,Completed
9,Sofia,Garanti Koza Sofia Open,11-Feb,ATP250,Indoor,Hard,The Final,3,Basic M.,Copil M.,129,93,448,596,7,6,6,7,6,4,,,,,2,1,Completed
11,New York,New York Open,18-Feb,ATP250,Indoor,Hard,The Final,3,Anderson K.,Querrey S.,11,12,2620,2490,4,6,6,3,7,6,,,,,2,1,Completed
12,Rotterdam,ABN AMRO World Tennis Tournament,18-Feb,ATP500,Indoor,Hard,The Final,3,Federer R.,Dimitrov G.,2,5,9605,4425,6,2,6,2,,,,,,,2,0,Completed
13,Delray Beach,Delray Beach Open,25-Feb,ATP250,Outdoor,Hard,The Final,3,Tiafoe F.,Gojowczyk P.,91,64,614,821,6,1,6,4,,,,,,,2,0,Completed
14,Marseille,Open 13,25-Feb,ATP250,Indoor,Hard,The Final,3,Khachanov K.,Pouille L.,47,16,1030,2335,7,5,3,6,7,5,,,,,2,1,Completed
16,Acapulco,Abierto Mexicano,04-Mar,ATP500,Outdoor,Hard,The Final,3,Del Potro J.M.,Anderson K.,9,8,2745,2825,6,4,6,4,,,,,,,2,0,Completed
17,Dubai ,Dubai Tennis Championships,03-Mar,ATP500,Outdoor,Hard,The Final,3,Bautista Agut R.,Pouille L.,23,15,1845,2335,6,3,6,4,,,,,,,2,0,Completed
19,Indian Wells,BNP Paribas Open,18-Mar,Masters 1000,Outdoor,Hard,The Final,3,Del Potro J.M.,Federer R.,8,1,3200,10060,6,4,6,7,7,6,,,,,2,1,Completed
20,Miami,Sony Ericsson Open,01-Apr,Masters 1000,Outdoor,Hard,The Final,3,Isner J.,Zverev A.,17,5,2170,4505,6,7,6,4,6,4,,,,,2,1,Completed
44,Atlanta,BB&T Atlanta Open,29-Jul,ATP250,Outdoor,Hard,The Final,3,Isner J.,Harrison R.,9,53,3490,920,5,7,6,3,6,4,,,,,2,1,Completed
48,Los Cabos,Abierto Mexicano Mifel,05-Aug,ATP250,Outdoor,Hard,The Final,3,Fognini F.,Del Potro J.M.,15,4,2030,5395,6,4,6,2,,,,,,,2,0,Completed
49,Washington,Citi Open,05-Aug,ATP500,Outdoor,Hard,The Final,3,Zverev A.,De Minaur A.,3,72,5665,803,6,2,6,4,,,,,,,2,0,Completed
50,Toronto,Rogers Masters,12-Aug,Masters 1000,Outdoor,Hard,The Final,3,Nadal R.,Tsitsipas S.,1,27,9310,1534,6,2,7,6,,,,,,,2,0,Completed
51,Cincinnati,Western & Southern Financial Group Masters,19-Aug,Masters 1000,Outdoor,Hard,The Final,3,Djokovic N.,Federer R.,10,2,3445,6480,6,4,6,4,,,,,,,2,0,Completed
52,Winston-Salem,Winston-Salem Open at Wake Forest University,25-Aug,ATP250,Outdoor,Hard,The Final,3,Medvedev D.,Johnson S.,57,34,952,1235,6,4,6,4,,,,,,,2,0,Completed
54,Metz,Open de Moselle,23-Sep,ATP250,Indoor,Hard,The Final,3,Simon G.,Bachinger M.,39,166,1115,340,7,6,6,1,,,,,,,2,0,Completed
55,St. Petersburg,St. Petersburg Open,23-Sep,ATP250,Indoor,Hard,The Final,3,Thiem D.,Klizan M.,8,65,3665,823,6,3,6,1,,,,,,,2,0,Completed
56,Chengdu,Chengdu Open,30-Sep,ATP250,Outdoor,Hard,The Final,3,Tomic B.,Fognini F.,123,13,453,2120,6,1,3,6,7,6,,,,,2,1,Completed
57,Shenzhen ,Shenzhen Open,30-Sep,ATP250,Outdoor,Hard,The Final,3,Nishioka Y.,Herbert P.H.,171,67,333,799,7,5,2,6,6,4,,,,,2,1,Completed
58,Beijing,China Open,07-Oct,ATP500,Outdoor,Hard,The Final,3,Basilashvili N.,Del Potro J.M.,34,4,1257,5980,6,4,6,4,,,,,,,2,0,Completed
59,Tokyo,Rakuten Japan Open Tennis Championships,07-Oct,ATP500,Outdoor,Hard,The Final,3,Medvedev D.,Nishikori K.,32,12,1287,2520,6,2,6,4,,,,,,,2,0,Completed
60,Shanghai,Shanghai Masters,14-Oct,Masters 1000,Outdoor,Hard,The Final,3,Djokovic N.,Coric B.,3,19,6445,1815,6,3,6,4,,,,,,,2,0,Completed
61,Antwerp,European Open,21-Oct,ATP250,Indoor,Hard,The Final,3,Edmund K.,Monfils G.,15,38,2125,1160,3,6,7,6,7,6,,,,,2,1,Completed
62,Moscow,Kremlin Cup,21-Oct,ATP250,Indoor,Hard,The Final,3,Khachanov K.,Mannarino A.,26,49,1640,1030,6,2,6,2,,,,,,,2,0,Completed
63,Stockholm,Stockholm Open,21-Oct,ATP250,Indoor,Hard,The Final,3,Tsitsipas S.,Gulbis E.,16,145,2007,404,6,4,6,4,,,,,,,2,0,Completed
64,Basel,Swiss Indoors,28-Oct,ATP500,Indoor,Hard,The Final,3,Federer R.,Copil M.,3,93,6260,608,7,6,6,4,,,,,,,2,0,Completed
65,Vienna,Erste Bank Open,28-Oct,ATP500,Indoor,Hard,The Final,3,Anderson K.,Nishikori K.,8,11,3730,2910,6,3,7,6,,,,,,,2,0,Completed
66,Paris,BNP Paribas Masters,04-Nov,Masters 1000,Indoor,Hard,The Final,3,Khachanov K.,Djokovic N.,18,2,1845,7445,7,5,6,4,,,,,,,2,0,Completed
67,London,Masters Cup,18-Nov,Masters Cup,Indoor,Hard,The Final,3,Zverev A.,Djokovic N.,5,1,5085,8045,6,4,6,3,,,,,,,2,0,Completed
