ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
38,Bastad,SkiStar Swedish Open,15-Jul,ATP250,Outdoor,Clay,The Final,3,Ferrer D.,Almagro N.,5,10,5430,2605,6,2,6,2,,,,,,,2,0,Completed
40,Stuttgart,Mercedes Cup,15-Jul,ATP250,Outdoor,Clay,The Final,3,Tipsarevic J.,Monaco J.,8,14,3215,2130,6,4,5,7,6,3,,,,,2,1,Completed
41,Umag,ATP Vegeta Croatia Open,15-Jul,ATP250,Outdoor,Clay,The Final,3,Cilic M.,Granollers M.,15,24,1825,1530,6,4,6,2,,,,,,,2,0,Completed
43,Gstaad,Crédit Agricole Suisse Open Gstaad,22-Jul,ATP250,Outdoor,Clay,The Final,3,Bellucci T.,Tipsarevic J.,60,8,767,3320,6,7,6,4,6,2,,,,,2,1,Completed
44,Hamburg,German Open Tennis Championships,22-Jul,ATP500,Outdoor,Clay,The Final,3,Monaco J.,Haas T.,14,49,2240,838,7,5,6,4,,,,,,,2,0,Completed
45,Kitzbuhel,Bet-At-Home Cup,28-Jul,ATP250,Outdoor,Clay,The Final,3,Haase R.,Kohlschreiber P.,42,23,955,1600,6,7,6,3,6,2,,,,,2,1,Completed
8,Vina del Mar,VTR Open,10-Feb,ATP250,Outdoor,Clay,The Final,3,Zeballos H.,Nadal R.,73,5,708,5400,6,7,7,6,6,4,,,,,2,1,Completed
12,Sao Paulo,Brasil Open,17-Feb,ATP250,Indoor,Clay,The Final,3,Nadal R.,Nalbandian D.,5,93,5550,550,6,2,6,3,,,,,,,2,0,Completed
13,Buenos Aires,Copa Claro,24-Feb,ATP250,Outdoor,Clay,The Final,3,Ferrer D.,Wawrinka S.,4,17,6865,1990,6,4,3,6,6,1,,,,,2,1,Completed
16,Acapulco,Abierto Mexicano,03-Mar,ATP500,Outdoor,Clay,The Final,3,Nadal R.,Ferrer D.,5,4,5755,6865,6,0,6,2,,,,,,,2,0,Completed
21,Casablanca,Grand Prix Hassan II,14-Apr,ATP250,Outdoor,Clay,The Final,3,Robredo T.,Anderson K.,72,29,680,1190,7,6,4,6,6,3,,,,,2,1,Completed
22,Houston,U.S. Men's Clay Court Championships,14-Apr,ATP250,Outdoor,Clay,The Final,3,Isner J.,Almagro N.,23,12,1500,2390,6,3,7,5,,,,,,,2,0,Completed
23,Monte Carlo,Monte Carlo Masters,21-Apr,Masters 1000,Outdoor,Clay,The Final,3,Djokovic N.,Nadal R.,1,5,12500,6385,6,2,7,6,,,,,,,2,0,Completed
24,Barcelona,Open Banco Sabadell,28-Apr,ATP500,Outdoor,Clay,The Final,3,Nadal R.,Almagro N.,5,12,5985,2450,6,4,6,3,,,,,,,2,0,Completed
25,Bucharest,BRD Nastase Tiriac Trophy,28-Apr,ATP250,Outdoor,Clay,The Final,3,Rosol L.,Garcia-Lopez G.,48,87,875,576,6,3,6,2,,,,,,,2,0,Completed
26,Munich,BMW Open,05-May,ATP250,Outdoor,Clay,The Final,3,Haas T.,Kohlschreiber P.,14,21,2215,1780,6,3,7,6,,,,,,,2,0,Completed
27,Oeiras,Portugal Open,05-May,ATP250,Outdoor,Clay,The Final,3,Wawrinka S.,Ferrer D.,16,4,2005,6920,6,1,6,4,2,0,,,,,2,0,Completed
28,Madrid,Mutua Madrid Open,12-May,Masters 1000,Outdoor,Clay,The Final,3,Nadal R.,Wawrinka S.,5,15,5985,2165,6,2,6,4,,,,,,,2,0,Completed
29,Rome,Internazionali BNL d'Italia,19-May,Masters 1000,Outdoor,Clay,The Final,3,Nadal R.,Federer R.,5,3,6895,7760,6,1,6,3,,,,,,,2,0,Completed
